Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Herrvik;78250;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-08-01 00:00:00;1996-01-01 23:59:59;5.0;57.4208;18.9174

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;6.3;Y
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;2.1;Y
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;0.4;Y
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;1.1;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;1.3;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;1.8;Y
1974-04-01 00:00:01;1974-05-01 00:00:00;1974-04;4.2;Y
1974-05-01 00:00:01;1974-06-01 00:00:00;1974-05;7.1;Y
1974-06-01 00:00:01;1974-07-01 00:00:00;1974-06;12.7;Y
1974-07-01 00:00:01;1974-08-01 00:00:00;1974-07;15.0;Y
1974-08-01 00:00:01;1974-09-01 00:00:00;1974-08;15.8;Y
1974-09-01 00:00:01;1974-10-01 00:00:00;1974-09;13.7;Y
1974-10-01 00:00:01;1974-11-01 00:00:00;1974-10;7.9;Y
1974-11-01 00:00:01;1974-12-01 00:00:00;1974-11;5.4;Y
1974-12-01 00:00:01;1975-01-01 00:00:00;1974-12;3.1;Y
1975-01-01 00:00:01;1975-02-01 00:00:00;1975-01;2.8;Y
1975-02-01 00:00:01;1975-03-01 00:00:00;1975-02;0.8;Y
1975-03-01 00:00:01;1975-04-01 00:00:00;1975-03;2.0;Y
1975-04-01 00:00:01;1975-05-01 00:00:00;1975-04;4.2;Y
1975-05-01 00:00:01;1975-06-01 00:00:00;1975-05;8.8;Y
1975-06-01 00:00:01;1975-07-01 00:00:00;1975-06;13.0;Y
1975-07-01 00:00:01;1975-08-01 00:00:00;1975-07;17.1;Y
1975-08-01 00:00:01;1975-09-01 00:00:00;1975-08;18.8;Y
1975-09-01 00:00:01;1975-10-01 00:00:00;1975-09;14.8;Y
1975-10-01 00:00:01;1975-11-01 00:00:00;1975-10;9.3;Y
1975-11-01 00:00:01;1975-12-01 00:00:00;1975-11;4.9;Y
1975-12-01 00:00:01;1976-01-01 00:00:00;1975-12;2.8;Y
1976-01-01 00:00:01;1976-02-01 00:00:00;1976-01;-1.9;Y
1976-02-01 00:00:01;1976-03-01 00:00:00;1976-02;-0.7;Y
1976-03-01 00:00:01;1976-04-01 00:00:00;1976-03;-1.1;Y
1976-04-01 00:00:01;1976-05-01 00:00:00;1976-04;3.4;Y
1976-05-01 00:00:01;1976-06-01 00:00:00;1976-05;8.5;Y
1976-06-01 00:00:01;1976-07-01 00:00:00;1976-06;13.0;Y
1976-07-01 00:00:01;1976-08-01 00:00:00;1976-07;15.6;Y
1976-08-01 00:00:01;1976-09-01 00:00:00;1976-08;16.1;Y
1976-09-01 00:00:01;1976-10-01 00:00:00;1976-09;11.9;Y
1976-10-01 00:00:01;1976-11-01 00:00:00;1976-10;6.6;Y
1976-11-01 00:00:01;1976-12-01 00:00:00;1976-11;4.4;Y
1976-12-01 00:00:01;1977-01-01 00:00:00;1976-12;-0.0;Y
1977-01-01 00:00:01;1977-02-01 00:00:00;1977-01;-0.3;Y
1977-02-01 00:00:01;1977-03-01 00:00:00;1977-02;-1.7;Y
1977-03-01 00:00:01;1977-04-01 00:00:00;1977-03;0.8;Y
