Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma V;78290;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-05-01 00:00:00;2015-12-31 23:59:59;32.0;57.54361;18.42533

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;1.6;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;2.2;Y
1998-03-01 00:00:01;1998-04-01 00:00:00;1998-03;0.2;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;4.8;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;10.2;Y
1998-06-01 00:00:01;1998-07-01 00:00:00;1998-06;13.3;Y
1998-07-01 00:00:01;1998-08-01 00:00:00;1998-07;15.2;Y
1998-08-01 00:00:01;1998-09-01 00:00:00;1998-08;14.4;Y
1998-09-01 00:00:01;1998-10-01 00:00:00;1998-09;12.7;Y
1998-10-01 00:00:01;1998-11-01 00:00:00;1998-10;7.3;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;0.2;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;0.3;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;0.1;Y
1999-02-01 00:00:01;1999-03-01 00:00:00;1999-02;-1.5;Y
1999-03-01 00:00:01;1999-04-01 00:00:00;1999-03;2.2;Y
1999-04-01 00:00:01;1999-05-01 00:00:00;1999-04;6.9;Y
1999-06-01 00:00:01;1999-07-01 00:00:00;1999-06;15.5;Y
1999-07-01 00:00:01;1999-08-01 00:00:00;1999-07;18.7;Y
1999-08-01 00:00:01;1999-09-01 00:00:00;1999-08;16.2;Y
1999-09-01 00:00:01;1999-10-01 00:00:00;1999-09;15.3;Y
1999-10-01 00:00:01;1999-11-01 00:00:00;1999-10;8.7;Y
1999-11-01 00:00:01;1999-12-01 00:00:00;1999-11;4.3;Y
1999-12-01 00:00:01;2000-01-01 00:00:00;1999-12;1.3;Y
2000-01-01 00:00:01;2000-02-01 00:00:00;2000-01;0.7;Y
2000-02-01 00:00:01;2000-03-01 00:00:00;2000-02;1.5;Y
2000-03-01 00:00:01;2000-04-01 00:00:00;2000-03;2.2;Y
2000-04-01 00:00:01;2000-05-01 00:00:00;2000-04;7.9;Y
2000-05-01 00:00:01;2000-06-01 00:00:00;2000-05;11.7;Y
