Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visby;78390;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-09-01 00:00:00;1986-05-31 23:59:59;28.0;57.636;18.2891

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1859-08-01 00:00:01;1859-09-01 00:00:00;1859-08;17.7;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1859-09-01 00:00:01;1859-10-01 00:00:00;1859-09;12.5;G;;Tidsperiod (fr.o.m.) = 1859-09-01 00:00:00 (UTC)
1859-10-01 00:00:01;1859-11-01 00:00:00;1859-10;7.6;G;;Tidsperiod (t.o.m.) = 1986-05-31 23:59:59 (UTC)
1859-11-01 00:00:01;1859-12-01 00:00:00;1859-11;4.0;G;;Medelvärdet är beräknat för = 1 månad
1859-12-01 00:00:01;1860-01-01 00:00:00;1859-12;0.0;G;;
1860-01-01 00:00:01;1860-02-01 00:00:00;1860-01;0.4;G;;Kvalitetskoderna:
1860-02-01 00:00:01;1860-03-01 00:00:00;1860-02;-2.2;G;;Grön (G) = Kontrollerade och godkända värden.
1860-03-01 00:00:01;1860-04-01 00:00:00;1860-03;-1.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-04-01 00:00:01;1860-05-01 00:00:00;1860-04;3.7;G;;
1860-05-01 00:00:01;1860-06-01 00:00:00;1860-05;7.2;G;;Orsaker till saknade data:
1860-06-01 00:00:01;1860-07-01 00:00:00;1860-06;13.6;G;;  stationen eller givaren har varit ur funktion.
1860-07-01 00:00:01;1860-08-01 00:00:00;1860-07;16.0;G
1860-08-01 00:00:01;1860-09-01 00:00:00;1860-08;15.3;G
1860-09-01 00:00:01;1860-10-01 00:00:00;1860-09;12.8;G
1860-10-01 00:00:01;1860-11-01 00:00:00;1860-10;6.3;G
1860-11-01 00:00:01;1860-12-01 00:00:00;1860-11;2.6;G
1860-12-01 00:00:01;1861-01-01 00:00:00;1860-12;-1.4;G
1861-01-01 00:00:01;1861-02-01 00:00:00;1861-01;-3.5;G
1861-02-01 00:00:01;1861-03-01 00:00:00;1861-02;0.0;G
1861-03-01 00:00:01;1861-04-01 00:00:00;1861-03;1.3;G
1861-04-01 00:00:01;1861-05-01 00:00:00;1861-04;2.2;G
1861-05-01 00:00:01;1861-06-01 00:00:00;1861-05;5.7;G
1861-06-01 00:00:01;1861-07-01 00:00:00;1861-06;15.5;G
1861-07-01 00:00:01;1861-08-01 00:00:00;1861-07;18.1;G
1861-08-01 00:00:01;1861-09-01 00:00:00;1861-08;16.0;G
1861-09-01 00:00:01;1861-10-01 00:00:00;1861-09;11.4;G
1861-10-01 00:00:01;1861-11-01 00:00:00;1861-10;8.8;G
1861-11-01 00:00:01;1861-12-01 00:00:00;1861-11;3.2;G
1861-12-01 00:00:01;1862-01-01 00:00:00;1861-12;2.2;G
1862-01-01 00:00:01;1862-02-01 00:00:00;1862-01;-3.4;G
1862-02-01 00:00:01;1862-03-01 00:00:00;1862-02;-3.2;G
1862-03-01 00:00:01;1862-04-01 00:00:00;1862-03;-1.6;G
1862-04-01 00:00:01;1862-05-01 00:00:00;1862-04;2.9;G
1862-05-01 00:00:01;1862-06-01 00:00:00;1862-05;9.8;G
1862-06-01 00:00:01;1862-07-01 00:00:00;1862-06;12.8;G
1862-07-01 00:00:01;1862-08-01 00:00:00;1862-07;14.1;G
1862-08-01 00:00:01;1862-09-01 00:00:00;1862-08;14.5;G
1862-09-01 00:00:01;1862-10-01 00:00:00;1862-09;11.8;G
1862-10-01 00:00:01;1862-11-01 00:00:00;1862-10;8.6;G
1862-11-01 00:00:01;1862-12-01 00:00:00;1862-11;2.7;G
1862-12-01 00:00:01;1863-01-01 00:00:00;1862-12;-0.9;G
1863-01-01 00:00:01;1863-02-01 00:00:00;1863-01;1.7;G
1863-02-01 00:00:01;1863-03-01 00:00:00;1863-02;2.1;G
1863-03-01 00:00:01;1863-04-01 00:00:00;1863-03;1.1;G
1863-04-01 00:00:01;1863-05-01 00:00:00;1863-04;4.2;G
1863-05-01 00:00:01;1863-06-01 00:00:00;1863-05;8.2;G
1863-06-01 00:00:01;1863-07-01 00:00:00;1863-06;13.6;G
1863-07-01 00:00:01;1863-08-01 00:00:00;1863-07;14.4;G
1863-08-01 00:00:01;1863-09-01 00:00:00;1863-08;15.5;G
1863-09-01 00:00:01;1863-10-01 00:00:00;1863-09;12.7;G
1863-10-01 00:00:01;1863-11-01 00:00:00;1863-10;9.8;G
1863-11-01 00:00:01;1863-12-01 00:00:00;1863-11;5.3;G
1863-12-01 00:00:01;1864-01-01 00:00:00;1863-12;2.5;G
1864-01-01 00:00:01;1864-02-01 00:00:00;1864-01;-0.7;G
1864-02-01 00:00:01;1864-03-01 00:00:00;1864-02;-0.3;G
1864-03-01 00:00:01;1864-04-01 00:00:00;1864-03;0.7;G
1864-04-01 00:00:01;1864-05-01 00:00:00;1864-04;2.5;G
1864-05-01 00:00:01;1864-06-01 00:00:00;1864-05;4.8;G
1864-06-01 00:00:01;1864-07-01 00:00:00;1864-06;14.2;G
1864-07-01 00:00:01;1864-08-01 00:00:00;1864-07;15.4;G
1864-08-01 00:00:01;1864-09-01 00:00:00;1864-08;12.4;G
1864-09-01 00:00:01;1864-10-01 00:00:00;1864-09;11.3;G
1864-10-01 00:00:01;1864-11-01 00:00:00;1864-10;6.0;G
1864-11-01 00:00:01;1864-12-01 00:00:00;1864-11;1.4;G
1864-12-01 00:00:01;1865-01-01 00:00:00;1864-12;1.1;G
1865-01-01 00:00:01;1865-02-01 00:00:00;1865-01;-0.1;G
1865-02-01 00:00:01;1865-03-01 00:00:00;1865-02;-4.3;G
1865-03-01 00:00:01;1865-04-01 00:00:00;1865-03;-2.0;G
1865-04-01 00:00:01;1865-05-01 00:00:00;1865-04;3.5;G
1865-05-01 00:00:01;1865-06-01 00:00:00;1865-05;10.2;G
1865-06-01 00:00:01;1865-07-01 00:00:00;1865-06;9.9;G
1865-07-01 00:00:01;1865-08-01 00:00:00;1865-07;18.3;G
1865-08-01 00:00:01;1865-09-01 00:00:00;1865-08;14.0;G
1865-09-01 00:00:01;1865-10-01 00:00:00;1865-09;12.6;G
1865-10-01 00:00:01;1865-11-01 00:00:00;1865-10;6.9;G
