Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Näsudden Aut;78040;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-03-01 00:00:00;1999-02-28 23:59:59;5.0;57.0735;18.2222

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;3.4;G
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;4.6;G
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;10.7;G
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;13.6;G
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;16.8;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;15.1;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;13.4;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;9.4;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;4.5;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;1.5;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;2.7;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;4.6;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;4.6;Y
1990-04-01 00:00:01;1990-05-01 00:00:00;1990-04;6.9;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;10.3;G
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;14.2;G
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;14.8;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;16.7;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;11.6;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;8.7;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;4.7;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;2.2;G
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;1.0;G
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-1.6;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;1.7;G
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;3.7;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;11.2;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;15.6;Y
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;16.7;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;15.8;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;12.4;G
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;5.9;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;4.1;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;2.9;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;1.7;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;0.5;G
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;1.7;G
1994-04-01 00:00:01;1994-05-01 00:00:00;1994-04;5.7;G
1994-07-01 00:00:01;1994-08-01 00:00:00;1994-07;19.1;G
1994-08-01 00:00:01;1994-09-01 00:00:00;1994-08;17.6;G
1994-09-01 00:00:01;1994-10-01 00:00:00;1994-09;12.9;Y
1994-10-01 00:00:01;1994-11-01 00:00:00;1994-10;7.7;Y
1994-11-01 00:00:01;1994-12-01 00:00:00;1994-11;5.1;Y
1994-12-01 00:00:01;1995-01-01 00:00:00;1994-12;3.4;Y
1995-01-01 00:00:01;1995-02-01 00:00:00;1995-01;0.4;Y
1995-02-01 00:00:01;1995-03-01 00:00:00;1995-02;2.3;Y
1995-03-01 00:00:01;1995-04-01 00:00:00;1995-03;2.0;Y
1995-04-01 00:00:01;1995-05-01 00:00:00;1995-04;4.3;Y
