Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/11/1994 00:00,01/12/1994 00:00,1994-11,5.1,Y,57.0735,18.2222,,
01/12/1994 00:00,01/01/1995 00:00,1994-12,3.4,Y,57.0735,18.2222,,
01/01/1995 00:00,01/02/1995 00:00,1995-01,0.4,Y,57.0735,18.2222,,
01/02/1995 00:00,01/03/1995 00:00,1995-02,2.3,Y,57.0735,18.2222,,
01/03/1995 00:00,01/04/1995 00:00,1995-03,2,Y,57.0735,18.2222,,
01/04/1995 00:00,01/05/1995 00:00,1995-04,4.3,Y,57.0735,18.2222,,
01/05/1995 00:00,01/06/1995 00:00,1995-05,7.9,Y,57.0735,18.2222,,
01/06/1995 00:00,01/07/1995 00:00,1995-06,13.7,Y,57.0735,18.2222,,
01/07/1995 00:00,01/08/1995 00:00,1995-07,16,Y,57.0735,18.2222,,
01/08/1995 00:00,01/09/1995 00:00,1995-08,17.5,Y,57.0735,18.2222,,
01/09/1995 00:00,01/10/1995 00:00,1995-09,13.1,Y,57.0735,18.2222,,
01/10/1995 00:00,01/11/1995 00:00,1995-10,11.2,Y,57.0735,18.2222,,
01/11/1995 00:00,01/12/1995 00:00,1995-11,3.1,Y,57.0735,18.2222,,
01/12/1995 00:00,01/01/1996 00:00,1995-12,-0.5,Y,57.0735,18.2222,,
01/01/1996 00:00,01/02/1996 00:00,1996-01,-1.4,Y,57.0735,18.2222,,
01/02/1996 00:00,01/03/1996 00:00,1996-02,-3.4,Y,57.0735,18.2222,,
01/03/1996 00:00,01/04/1996 00:00,1996-03,-0.7,Y,57.0735,18.2222,,
01/04/1996 00:00,01/05/1996 00:00,1996-04,5.1,Y,57.0735,18.2222,,
01/05/1996 00:00,01/06/1996 00:00,1996-05,7.3,Y,57.0735,18.2222,,
01/06/1996 00:00,01/07/1996 00:00,1996-06,12.1,Y,57.0735,18.2222,,
01/07/1996 00:00,01/08/1996 00:00,1996-07,13.9,Y,57.0735,18.2222,,
01/08/1996 00:00,01/09/1996 00:00,1996-08,17.8,Y,57.0735,18.2222,,
01/09/1996 00:00,01/10/1996 00:00,1996-09,11.3,Y,57.0735,18.2222,,
01/10/1996 00:00,01/11/1996 00:00,1996-10,9.8,Y,57.0735,18.2222,,
01/11/1996 00:00,01/12/1996 00:00,1996-11,6,Y,57.0735,18.2222,,
01/12/1996 00:00,01/01/1997 00:00,1996-12,-0.2,Y,57.0735,18.2222,,
01/01/1997 00:00,01/02/1997 00:00,1997-01,0.2,Y,57.0735,18.2222,,
01/02/1997 00:00,01/03/1997 00:00,1997-02,1.1,Y,57.0735,18.2222,,
01/03/1997 00:00,01/04/1997 00:00,1997-03,2.1,Y,57.0735,18.2222,,
01/04/1997 00:00,01/05/1997 00:00,1997-04,3,Y,57.0735,18.2222,,
01/05/1997 00:00,01/06/1997 00:00,1997-05,8,Y,57.0735,18.2222,,
01/06/1997 00:00,01/07/1997 00:00,1997-06,14.7,Y,57.0735,18.2222,,
01/07/1997 00:00,01/08/1997 00:00,1997-07,18.2,Y,57.0735,18.2222,,
01/08/1997 00:00,01/09/1997 00:00,1997-08,20.7,Y,57.0735,18.2222,,
01/09/1997 00:00,01/10/1997 00:00,1997-09,14.1,Y,57.0735,18.2222,,
01/10/1997 00:00,01/11/1997 00:00,1997-10,7.1,Y,57.0735,18.2222,,
01/11/1997 00:00,01/12/1997 00:00,1997-11,4.1,Y,57.0735,18.2222,,
01/12/1997 00:00,01/01/1998 00:00,1997-12,1.9,Y,57.0735,18.2222,,
01/01/1998 00:00,01/02/1998 00:00,1998-01,2.1,Y,57.0735,18.2222,,
01/02/1998 00:00,01/03/1998 00:00,1998-02,2.7,Y,57.0735,18.2222,,
01/03/1998 00:00,01/04/1998 00:00,1998-03,0.9,Y,57.0735,18.2222,,
01/04/1998 00:00,01/05/1998 00:00,1998-04,4.4,Y,57.0735,18.2222,,
01/05/1998 00:00,01/06/1998 00:00,1998-05,9.6,Y,57.0735,18.2222,,
01/11/1998 00:00,01/12/1998 00:00,1998-11,1.5,Y,57.0735,18.2222,,
01/12/1998 00:00,01/01/1999 00:00,1998-12,1.1,Y,57.0735,18.2222,,
01/01/1999 00:00,01/02/1999 00:00,1999-01,0.2,Y,57.0735,18.2222,,
