Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/10/2001 00:00,01/11/2001 00:00,2001-10,10.4,Y,57.54361,18.42533,,
01/11/2001 00:00,01/12/2001 00:00,2001-11,3.5,Y,57.54361,18.42533,,
01/12/2001 00:00,01/01/2002 00:00,2001-12,-0.7,Y,57.54361,18.42533,,
01/01/2002 00:00,01/02/2002 00:00,2002-01,0.9,Y,57.54361,18.42533,,
01/02/2002 00:00,01/03/2002 00:00,2002-02,2.5,Y,57.54361,18.42533,,
01/03/2002 00:00,01/04/2002 00:00,2002-03,2.6,Y,57.54361,18.42533,,
01/04/2002 00:00,01/05/2002 00:00,2002-04,5.9,Y,57.54361,18.42533,,
01/05/2002 00:00,01/06/2002 00:00,2002-05,12.2,Y,57.54361,18.42533,,
01/06/2002 00:00,01/07/2002 00:00,2002-06,16.3,Y,57.54361,18.42533,,
01/07/2002 00:00,01/08/2002 00:00,2002-07,18.5,Y,57.54361,18.42533,,
01/08/2002 00:00,01/09/2002 00:00,2002-08,19.9,Y,57.54361,18.42533,,
01/09/2002 00:00,01/10/2002 00:00,2002-09,13.5,Y,57.54361,18.42533,,
01/10/2002 00:00,01/11/2002 00:00,2002-10,5,Y,57.54361,18.42533,,
01/11/2002 00:00,01/12/2002 00:00,2002-11,2.7,Y,57.54361,18.42533,,
01/12/2002 00:00,01/01/2003 00:00,2002-12,-2,Y,57.54361,18.42533,,
01/01/2003 00:00,01/02/2003 00:00,2003-01,-1.8,Y,57.54361,18.42533,,
01/02/2003 00:00,01/03/2003 00:00,2003-02,-3.1,Y,57.54361,18.42533,,
01/03/2003 00:00,01/04/2003 00:00,2003-03,1.9,Y,57.54361,18.42533,,
01/04/2003 00:00,01/05/2003 00:00,2003-04,4.1,Y,57.54361,18.42533,,
01/05/2003 00:00,01/06/2003 00:00,2003-05,11.4,Y,57.54361,18.42533,,
01/06/2003 00:00,01/07/2003 00:00,2003-06,15.5,Y,57.54361,18.42533,,
01/07/2003 00:00,01/08/2003 00:00,2003-07,19.3,Y,57.54361,18.42533,,
01/08/2003 00:00,01/09/2003 00:00,2003-08,17.6,Y,57.54361,18.42533,,
01/10/2003 00:00,01/11/2003 00:00,2003-10,6,Y,57.54361,18.42533,,
01/11/2003 00:00,01/12/2003 00:00,2003-11,5.7,Y,57.54361,18.42533,,
01/12/2003 00:00,01/01/2004 00:00,2003-12,2.8,Y,57.54361,18.42533,,
01/01/2004 00:00,01/02/2004 00:00,2004-01,-2.5,Y,57.54361,18.42533,,
01/02/2004 00:00,01/03/2004 00:00,2004-02,0.1,Y,57.54361,18.42533,,
01/03/2004 00:00,01/04/2004 00:00,2004-03,1.7,Y,57.54361,18.42533,,
01/04/2004 00:00,01/05/2004 00:00,2004-04,6.4,Y,57.54361,18.42533,,
01/05/2004 00:00,01/06/2004 00:00,2004-05,10.5,Y,57.54361,18.42533,,
01/06/2004 00:00,01/07/2004 00:00,2004-06,13.3,Y,57.54361,18.42533,,
01/07/2004 00:00,01/08/2004 00:00,2004-07,15.5,Y,57.54361,18.42533,,
01/08/2004 00:00,01/09/2004 00:00,2004-08,17.5,Y,57.54361,18.42533,,
01/09/2004 00:00,01/10/2004 00:00,2004-09,12.7,Y,57.54361,18.42533,,
01/10/2004 00:00,01/11/2004 00:00,2004-10,7.7,Y,57.54361,18.42533,,
01/11/2004 00:00,01/12/2004 00:00,2004-11,1.9,Y,57.54361,18.42533,,
01/12/2004 00:00,01/01/2005 00:00,2004-12,1.9,Y,57.54361,18.42533,,
01/01/2005 00:00,01/02/2005 00:00,2005-01,1.3,Y,57.54361,18.42533,,
01/02/2005 00:00,01/03/2005 00:00,2005-02,-1.7,Y,57.54361,18.42533,,
01/03/2005 00:00,01/04/2005 00:00,2005-03,-2.4,Y,57.54361,18.42533,,
01/04/2005 00:00,01/05/2005 00:00,2005-04,5.4,Y,57.54361,18.42533,,
