Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fårö D;79580;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1881-12-01 00:00:00;1996-01-01 23:59:59;8.0;57.8987;19.1592
2017-08-01 00:00:00;2017-09-01 23:59:59;4.0;57.95481;19.2459

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;57.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;26.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;38.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;9.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;13.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;20.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;10.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;18.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;16.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;53.0;G
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;23.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;32.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;61.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;10.0;G
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;26.0;G
1889-01-01 07:00:01;1889-02-01 07:00:00;1889-01;8.0;G
1889-02-01 07:00:01;1889-03-01 07:00:00;1889-02;14.0;G
1889-03-01 07:00:01;1889-04-01 07:00:00;1889-03;15.0;G
1889-04-01 07:00:01;1889-05-01 07:00:00;1889-04;11.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;7.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;2.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;90.0;G
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;67.0;G
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;55.0;G
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;27.0;G
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;49.0;G
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;20.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;22.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;13.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;27.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;87.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;20.0;G
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;26.0;G
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;39.0;G
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;123.0;G
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;10.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;75.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;45.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;12.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;20.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;4.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;15.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;9.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;28.0;G
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;33.0;G
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;52.0;G
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;47.0;G
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;36.0;G
1891-10-01 07:00:01;1891-11-01 07:00:00;1891-10;21.0;G
1891-11-01 07:00:01;1891-12-01 07:00:00;1891-11;47.0;G
1891-12-01 07:00:01;1892-01-01 07:00:00;1891-12;54.0;G
1892-01-01 07:00:01;1892-02-01 07:00:00;1892-01;24.0;G
1892-02-01 07:00:01;1892-03-01 07:00:00;1892-02;14.0;G
1892-03-01 07:00:01;1892-04-01 07:00:00;1892-03;1.0;G
1892-04-01 07:00:01;1892-05-01 07:00:00;1892-04;13.0;G
1892-05-01 07:00:01;1892-06-01 07:00:00;1892-05;28.0;G
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;48.0;G
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;47.0;G
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;61.0;G
1892-09-01 07:00:01;1892-10-01 07:00:00;1892-09;11.0;G
1892-10-01 07:00:01;1892-11-01 07:00:00;1892-10;53.0;G
1892-11-01 07:00:01;1892-12-01 07:00:00;1892-11;14.0;G
1892-12-01 07:00:01;1893-01-01 07:00:00;1892-12;15.0;G
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;8.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;14.0;G
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;16.0;G
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;5.0;G
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;8.0;G
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;13.0;G
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;20.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;51.0;G
1893-09-01 07:00:01;1893-10-01 07:00:00;1893-09;95.0;G
1893-10-01 07:00:01;1893-11-01 07:00:00;1893-10;46.0;G
1893-11-01 07:00:01;1893-12-01 07:00:00;1893-11;33.0;G
1893-12-01 07:00:01;1894-01-01 07:00:00;1893-12;4.0;G
1894-01-01 07:00:01;1894-02-01 07:00:00;1894-01;21.0;G
1894-02-01 07:00:01;1894-03-01 07:00:00;1894-02;19.0;G
1894-03-01 07:00:01;1894-04-01 07:00:00;1894-03;13.0;G
1894-04-01 07:00:01;1894-05-01 07:00:00;1894-04;24.0;G
1894-05-01 07:00:01;1894-06-01 07:00:00;1894-05;35.0;G
1894-06-01 07:00:01;1894-07-01 07:00:00;1894-06;20.0;G
1894-07-01 07:00:01;1894-08-01 07:00:00;1894-07;38.0;G
1894-08-01 07:00:01;1894-09-01 07:00:00;1894-08;40.0;G
1894-09-01 07:00:01;1894-10-01 07:00:00;1894-09;52.0;G
1894-10-01 07:00:01;1894-11-01 07:00:00;1894-10;32.0;G
1894-11-01 07:00:01;1894-12-01 07:00:00;1894-11;24.0;G
1894-12-01 07:00:01;1895-01-01 07:00:00;1894-12;44.0;G
1895-01-01 07:00:01;1895-02-01 07:00:00;1895-01;8.0;G
1895-02-01 07:00:01;1895-03-01 07:00:00;1895-02;11.0;G
1895-03-01 07:00:01;1895-04-01 07:00:00;1895-03;14.0;G
1895-04-01 07:00:01;1895-05-01 07:00:00;1895-04;12.0;G
1895-05-01 07:00:01;1895-06-01 07:00:00;1895-05;11.0;G
1895-06-01 07:00:01;1895-07-01 07:00:00;1895-06;6.0;G
1895-07-01 07:00:01;1895-08-01 07:00:00;1895-07;78.0;G
1895-08-01 07:00:01;1895-09-01 07:00:00;1895-08;110.0;G
1895-09-01 07:00:01;1895-10-01 07:00:00;1895-09;23.0;G
1895-10-01 07:00:01;1895-11-01 07:00:00;1895-10;51.0;G
1895-11-01 07:00:01;1895-12-01 07:00:00;1895-11;47.0;G
1895-12-01 07:00:01;1896-01-01 07:00:00;1895-12;22.0;G
1896-01-01 07:00:01;1896-02-01 07:00:00;1896-01;12.0;G
1896-02-01 07:00:01;1896-03-01 07:00:00;1896-02;9.0;G
1896-03-01 07:00:01;1896-04-01 07:00:00;1896-03;30.0;G
1896-04-01 07:00:01;1896-05-01 07:00:00;1896-04;18.0;G
1896-05-01 07:00:01;1896-06-01 07:00:00;1896-05;18.0;G
1896-06-01 07:00:01;1896-07-01 07:00:00;1896-06;8.0;G
1896-07-01 07:00:01;1896-08-01 07:00:00;1896-07;34.0;G
1896-08-01 07:00:01;1896-09-01 07:00:00;1896-08;125.0;G
1896-09-01 07:00:01;1896-10-01 07:00:00;1896-09;32.0;G
1896-10-01 07:00:01;1896-11-01 07:00:00;1896-10;48.0;G
1896-11-01 07:00:01;1896-12-01 07:00:00;1896-11;40.0;G
1896-12-01 07:00:01;1897-01-01 07:00:00;1896-12;35.0;G
1897-01-01 07:00:01;1897-02-01 07:00:00;1897-01;16.0;G
1897-02-01 07:00:01;1897-03-01 07:00:00;1897-02;10.0;G
1897-03-01 07:00:01;1897-04-01 07:00:00;1897-03;27.0;G
1897-04-01 07:00:01;1897-05-01 07:00:00;1897-04;43.0;G
1897-05-01 07:00:01;1897-06-01 07:00:00;1897-05;72.0;G
