Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1880-11-01 07:00:01,1880-12-01 07:00:00,1880-11,55,G,57.5979,18.4507
1880-12-01 07:00:01,1881-01-01 07:00:00,1880-12,34,G,57.5979,18.4507
1881-01-01 07:00:01,1881-02-01 07:00:00,1881-01,20,G,57.5979,18.4507
1881-02-01 07:00:01,1881-03-01 07:00:00,1881-02,31,G,57.5979,18.4507
1881-03-01 07:00:01,1881-04-01 07:00:00,1881-03,27,G,57.5979,18.4507
1881-04-01 07:00:01,1881-05-01 07:00:00,1881-04,7,G,57.5979,18.4507
1881-05-01 07:00:01,1881-06-01 07:00:00,1881-05,24,G,57.5979,18.4507
1881-06-01 07:00:01,1881-07-01 07:00:00,1881-06,39,G,57.5979,18.4507
1881-07-01 07:00:01,1881-08-01 07:00:00,1881-07,17,G,57.5979,18.4507
1881-08-01 07:00:01,1881-09-01 07:00:00,1881-08,59,G,57.5979,18.4507
1881-09-01 07:00:01,1881-10-01 07:00:00,1881-09,101,G,57.5979,18.4507
1881-10-01 07:00:01,1881-11-01 07:00:00,1881-10,61,G,57.5979,18.4507
1881-11-01 07:00:01,1881-12-01 07:00:00,1881-11,29,G,57.5979,18.4507
1881-12-01 07:00:01,1882-01-01 07:00:00,1881-12,18,G,57.5979,18.4507
1882-01-01 07:00:01,1882-02-01 07:00:00,1882-01,26,G,57.5979,18.4507
1882-02-01 07:00:01,1882-03-01 07:00:00,1882-02,18,G,57.5979,18.4507
1882-03-01 07:00:01,1882-04-01 07:00:00,1882-03,13,G,57.5979,18.4507
1882-05-01 07:00:01,1882-06-01 07:00:00,1882-05,6,G,57.5979,18.4507
1882-06-01 07:00:01,1882-07-01 07:00:00,1882-06,31,G,57.5979,18.4507
1882-07-01 07:00:01,1882-08-01 07:00:00,1882-07,86,G,57.5979,18.4507
1882-08-01 07:00:01,1882-09-01 07:00:00,1882-08,87,G,57.5979,18.4507
1882-09-01 07:00:01,1882-10-01 07:00:00,1882-09,25,G,57.5979,18.4507
1882-10-01 07:00:01,1882-11-01 07:00:00,1882-10,28,G,57.5979,18.4507
1882-11-01 07:00:01,1882-12-01 07:00:00,1882-11,61,G,57.5979,18.4507
1882-12-01 07:00:01,1883-01-01 07:00:00,1882-12,29,G,57.5979,18.4507
1883-02-01 07:00:01,1883-03-01 07:00:00,1883-02,11,G,57.5979,18.4507
1883-03-01 07:00:01,1883-04-01 07:00:00,1883-03,18,G,57.5979,18.4507
1883-04-01 07:00:01,1883-05-01 07:00:00,1883-04,10,G,57.5979,18.4507
1883-05-01 07:00:01,1883-06-01 07:00:00,1883-05,32,G,57.5979,18.4507
1883-07-01 07:00:01,1883-08-01 07:00:00,1883-07,113,G,57.5979,18.4507
