Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg D;68550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-01-01 00:00:00;2019-06-01 15:00:00;38.0;56.922;18.1504
1880-01-01 00:00:00;2012-12-31 23:59:59;38.0;56.9222;18.1471

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;20.9;Y
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;107.4;Y
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;13.2;Y
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;22.2;Y
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;24.5;Y
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;12.4;Y
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;20.9;Y
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;27.4;Y
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;15.2;Y
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;39.1;Y
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;29.6;Y
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;7.5;Y
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;34.4;Y
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;19.4;Y
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;41.7;Y
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;56.5;Y
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;17.0;Y
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;5.2;Y
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;16.4;Y
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;16.1;Y
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;49.0;Y
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;26.8;Y
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;23.9;Y
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;25.8;Y
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;25.4;Y
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;23.5;Y
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;54.5;Y
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;54.2;Y
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;11.6;Y
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;24.9;Y
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;69.5;Y
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;35.9;Y
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;24.9;Y
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;20.8;Y
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;50.1;Y
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;25.6;Y
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;31.8;Y
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;42.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;30.0;Y
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;16.3;Y
1889-01-01 07:00:01;1889-02-01 07:00:00;1889-01;11.0;Y
1889-02-01 07:00:01;1889-03-01 07:00:00;1889-02;116.7;Y
1889-03-01 07:00:01;1889-04-01 07:00:00;1889-03;42.2;Y
1889-04-01 07:00:01;1889-05-01 07:00:00;1889-04;33.4;Y
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;5.8;Y
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;28.6;Y
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;43.6;Y
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;43.8;Y
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;27.4;Y
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;32.5;Y
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;22.7;Y
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;16.5;Y
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;26.7;Y
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;9.4;Y
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;20.8;Y
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;39.5;Y
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;13.8;Y
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;17.6;Y
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;40.7;Y
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;99.0;Y
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;14.3;Y
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;71.7;Y
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;43.9;Y
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;16.3;Y
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;62.8;Y
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;3.9;Y
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;54.8;Y
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;17.0;Y
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;14.5;Y
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;25.4;Y
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;79.3;Y
